Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
Placer Contact Person ,00874,ARQ,15,250,XCN,Y,,10.6.1.15
Placer Contact Phone Number ,00875,ARQ,16,250,XTN,Y,,10.6.1.16
Placer Contact Address ,00876,ARQ,17,250,XAD,Y,,10.6.1.17
Placer Contact Location ,00877,ARQ,18,80,PL,,,10.6.1.18
Entered By Person ,00878,ARQ,19,250,XCN,Y,,10.6.1.19
Entered By Phone Number ,00879,ARQ,20,250,XTN,Y,,10.6.1.20
Entered By Location ,00880,ARQ,21,80,PL,,,10.6.1.21
Parent Placer Appointment ID ,00881,ARQ,22,75,EI,,,10.6.1.22
Parent Filler Appointment ID ,00882,ARQ,23,75,EI,,,10.6.1.23
Placer Order Number ,00216,ARQ,24,22,EI,Y,,10.6.1.24
Filler Order Number ,00217,ARQ,25,22,EI,Y,,10.6.1.25
"Authorizing Payor, Plan ID ",01146,AUT,1,250,CE,,0072,11.6.2.1
"Authorizing Payor, Company ID ",01147,AUT,2,250,CE,,0285,11.6.2.2
"Authorizing Payor, Company Name ",01148,AUT,3,45,ST,,,11.6.2.3
Authorization Effective Date ,01149,AUT,4,26,TS,,,11.6.2.4
Authorization Expiration Date ,01150,AUT,5,26,TS,,,11.6.2.5
Authorization Identifier ,01151,AUT,6,30,EI,,,11.6.2.6
Reimbursement Limit ,01152,AUT,7,25,CP,,,11.6.2.7
Requested Number of Treatments ,01153,AUT,8,2,NM,,,11.6.2.8
Authorized Number of Treatments ,01154,AUT,9,2,NM,,,11.6.2.9
Process Date ,01145,AUT,10,26,TS,,,11.6.2.10
Batch Field Separator ,00081,BHS,1,1,ST,,,2.15.2.1
Batch Encoding Characters ,00082,BHS,2,3,ST,,,2.15.2.2
Batch Sending Application ,00083,BHS,3,227,HD,,,2.15.2.3
Batch Sending Facility ,00084,BHS,4,227,HD,,,2.15.2.4
Batch Receiving Application ,00085,BHS,5,227,HD,,,2.15.2.5
Batch Receiving Facility ,00086,BHS,6,227,HD,,,2.15.2.6
Batch Creation Date/Time ,00087,BHS,7,26,TS,,,2.15.2.7
Batch Security ,00088,BHS,8,40,ST,,,2.15.2.8
Batch Name/ID/Type ,00089,BHS,9,20,ST,,,2.15.2.9
Batch Comment ,00090,BHS,10,80,ST,,,2.15.2.10
Batch Control ID ,00091,BHS,11,20,ST,,,2.15.2.11
Reference Batch Control ID ,00092,BHS,12,20,ST,,,2.15.2.12
Blood Product Code ,01528,BLC,1,250,CE,,0426,6.5.13.1
Blood Amount ,01529,BLC,2,267,CQ,,,6.5.13.2
When to Charge ,00234,BLG,1,40,CCD,,0100,4.5.2.1
Charge Type ,00235,BLG,2,50,ID,,0122,4.5.2.2
Account ID ,00236,BLG,3,100,CX,,,4.5.2.3
Charge Type Reason ,01645,BLG,4,60,CWE,,0475,4.5.2.4
Set ID - BPO ,01700,BPO,1,4,SI,,,4.21.1.1
BP Universal Service ID ,01701,BPO,2,250,CWE,,,4.21.1.2
BP Processing Requirements ,01702,BPO,3,250,CWE,Y,0508,4.21.1.3
BP Quantity ,01703,BPO,4,5,NM,,,4.21.1.4
BP Amount ,01704,BPO,5,5,NM,,,4.21.1.5
BP Units ,01705,BPO,6,250,CE,,,4.21.1.6
BP Intended Use Date/Time ,01706,BPO,7,26,TS,,,4.21.1.7
BP Intended Dispense From Location ,01707,BPO,8,80,PL,,,4.21.1.8
BP Intended Dispense From Address ,01708,BPO,9,250,XAD,,,4.21.1.9
BP Requested Dispense Date/Time ,01709,BPO,10,26,TS,,,4.21.1.10
BP Requested Dispense To Location ,01710,BPO,11,80,PL,,,4.21.1.11
BP Requested Dispense To Address ,01711,BPO,12,250,XAD,,,4.21.1.12
BP Indication for Use ,01712,BPO,13,250,CWE,Y,0509,4.21.1.13
BP Informed Consent Indicator ,01713,BPO,14,1,ID,,0136,4.21.1.14
Set ID - BPX ,01714,BPX,1,4,SI,,,4.21.2.1
BP Dispense Status ,01715,BPX,2,250,CWE,,0510,4.21.2.2
BP Status ,01716,BPX,3,1,ID,,0511,4.21.2.3
BP Date/Time of Status ,01717,BPX,4,26,TS,,,4.21.2.4
BC Donation ID ,01718,BPX,5,22,EI,,,4.21.2.5
BC Component ,01719,BPX,6,250,CNE,,,4.21.2.6
BC Donation Type / Intended Use ,01720,BPX,7,250,CNE,,,4.21.2.7
CP Commercial Product ,01721,BPX,8,250,CWE,,0512,4.21.2.8
CP Manufacturer ,01722,BPX,9,250,XON,,,4.21.2.9
CP Lot Number ,01723,BPX,10,22,EI,,,4.21.2.10
BP Blood Group ,01724,BPX,11,250,CNE,,,4.21.2.11
BC Special Testing ,01725,BPX,12,250,CNE,Y,,4.21.2.12
BP Expiration Date/Time ,01726,BPX,13,26,TS,,,4.21.2.13
BP Quantity ,01727,BPX,14,5,NM,,,4.21.2.14
BP Amount ,01728,BPX,15,5,NM,,,4.21.2.15
BP Units ,01729,BPX,16,250,CE,,,4.21.2.16
BP Unique ID ,01730,BPX,17,22,EI,,,4.21.2.17
BP Actual Dispensed To Location ,01731,BPX,18,80,PL,,,4.21.2.18
BP Actual Dispensed To Address ,01732,BPX,19,250,XAD,,,4.21.2.19
BP Dispensed to Receiver ,01733,BPX,20,250,XCN,,,4.21.2.20
BP Dispensing Individual ,01734,BPX,21,250,XCN,,,4.21.2.21
Batch Message Count ,00093,BTS,1,10,ST,,,2.15.3.1
Batch Comment ,00090,BTS,2,80,ST,,,2.15.3.2
Batch Totals ,00095,BTS,3,100,NM,Y,,2.15.3.3
Set ID - BTX ,01735,BTX,1,4,SI,,,4.21.3.1
BC Donation ID ,01736,BTX,2,22,EI,,,4.21.3.2
BC Component ,01737,BTX,3,250,CNE,,,4.21.3.3
BC Blood Group ,01738,BTX,4,250,CNE,,,4.21.3.4
CP Commercial Product ,01739,BTX,5,250,CWE,,0512,4.21.3.5
CP Manufacturer ,01740,BTX,6,250,XON,,,4.21.3.6
CP Lot Number ,01741,BTX,7,22,EI,,,4.21.3.7
BP Quantity ,01742,BTX,8,5,NM,,,4.21.3.8
BP Amount ,01743,BTX,9,5,NM,,,4.21.3.9
BP Units ,01744,BTX,10,250,CE,,,4.21.3.10
BP Transfusion/Disposition Status ,01745,BTX,11,250,CWE,,0513,4.21.3.11
BP Message Status ,01746,BTX,12,1,ID,,0511,4.21.3.12
BP Date/Time of Status ,01747,BTX,13,26,TS,,,4.21.3.13
BP Administrator ,01748,BTX,14,250,XCN,,,4.21.3.14
BP Verifier ,01749,BTX,15,250,XCN,,,4.21.3.15
BP Transfusion Start Date/Time of Status ,01750,BTX,16,26,TS,,,4.21.3.16
BP Transfusion End Date/Time of Status ,01751,BTX,17,26,TS,,,4.21.3.17
BP Adverse Reaction Type ,01752,BTX,18,250,CWE,Y,0514,4.21.3.18
BP Transfusion Interrupted Reason ,01753,BTX,19,250,CWE,,0515,4.21.3.19
Primary Key Value - CDM ,01306,CDM,1,250,CE,,0132,8.10.2.1
Charge Code Alias ,00983,CDM,2,250,CE,Y,,8.10.2.2
Charge Description Short ,00984,CDM,3,20,ST,,,8.10.2.3
Charge Description Long ,00985,CDM,4,250,ST,,,8.10.2.4
Description Override Indicator ,00986,CDM,5,1,IS,,0268,8.10.2.5
Exploding Charges ,00987,CDM,6,250,CE,Y,,8.10.2.6
Procedure Code ,00393,CDM,7,250,CE,Y,0088,8.10.2.7
Active/Inactive Flag ,00675,CDM,8,1,ID,,0183,8.10.2.8
Inventory Number ,00990,CDM,9,250,CE,Y,0463,8.10.2.9
Resource Load ,00991,CDM,10,12,NM,,,8.10.2.10
Contract Number ,00992,CDM,11,250,CX,Y,,8.10.2.11
Contract Organization ,00993,CDM,12,250,XON,Y,,8.10.2.12
Room Fee Indicator ,00994,CDM,13,1,ID,,0136,8.10.2.13
Set ID - CER ,01856,CER,1,4,SI,,,15.4.2.1
Serial Number ,01857,CER,2,80,ST,,,15.4.2.2
Version ,01858,CER,3,80,ST,,,15.4.2.3
Granting Authority ,01859,CER,4,250,XON,,,15.4.2.4
Issuing Authority ,01860,CER,5,250,XCN,,,15.4.2.5
Signature of Issuing Authority ,01861,CER,6,65536,ED,,,15.4.2.6
Granting Country ,01862,CER,7,3,ID,,0399,15.4.2.7
Granting State/Province ,01863,CER,8,250,CWE,,0347,15.4.2.8
Granting County/Parish ,01864,CER,9,250,CWE,,0289,15.4.2.9
Certificate Type ,01865,CER,10,250,CWE,,,15.4.2.10
Certificate Domain ,01866,CER,11,250,CWE,,,15.4.2.11
Subject ID ,01867,CER,12,250,ID,,,15.4.2.12
Subject Name ,01907,CER,13,250,ST,,,15.4.2.13
Subject Directory Attribute Extension (Health Professional Data),01868,CER,14,250,CWE,Y,,15.4.2.14
Subject Public Key Info ,01869,CER,15,250,CWE,,,15.4.2.15
Authority Key Identifier ,01870,CER,16,250,CWE,,,15.4.2.16
Basic Constraint ,01871,CER,17,250,ID,,0136,15.4.2.17
CRL Distribution Point ,01872,CER,18,250,CWE,Y,,15.4.2.18
Jurisdiction Country ,01875,CER,19,3,ID,,0399,15.4.2.19
Jurisdiction State/Province ,01873,CER,20,250,CWE,,0347,15.4.2.20
Jurisdiction County/Parish ,01874,CER,21,250,CWE,,0289,15.4.2.21
Jurisdiction Breadth ,01895,CER,22,250,CWE,Y,0547,15.4.2.22
Granting Date ,01876,CER,23,26,TS,,,15.4.2.23
Issuing Date ,01877,CER,24,26,TS,,,15.4.2.24
Activation Date ,01878,CER,25,26,TS,,,15.4.2.25
Inactivation Date ,01879,CER,26,26,TS,,,15.4.2.26
Expiration Date ,01880,CER,27,26,TS,,,15.4.2.27
Renewal Date ,01881,CER,28,26,TS,,,15.4.2.28
Revocation Date ,01882,CER,29,26,TS,,,15.4.2.29
Revocation Reason Code ,01883,CER,30,250,CE,,,15.4.2.30
Certificate Status ,01884,CER,31,250,CWE,,0536,15.4.2.31
Set ID - CM0 ,01010,CM0,1,4,SI,,,8.11.2.1
Sponsor Study ID ,01011,CM0,2,60,EI,,,8.11.2.2
Alternate Study ID ,01036,CM0,3,60,EI,Y,,8.11.2.3
Title of Study ,01013,CM0,4,300,ST,,,8.11.2.4
Chairman of Study ,01014,CM0,5,250,XCN,Y,,8.11.2.5
Last IRB Approval Date ,01015,CM0,6,8,DT,,,8.11.2.6
Total Accrual to Date ,01016,CM0,7,8,NM,,,8.11.2.7
Last Accrual Date ,01017,CM0,8,8,DT,,,8.11.2.8
Contact for Study ,01018,CM0,9,250,XCN,Y,,8.11.2.9
Contact's Telephone Number ,01019,CM0,10,250,XTN,,,8.11.2.10
Contact's Address ,01020,CM0,11,250,XAD,Y,,8.11.2.11
Set ID - CM1 ,01021,CM1,1,4,SI,,,8.11.3.1
Study Phase Identifier ,01022,CM1,2,250,CE,,,8.11.3.2
Description of Study Phase ,01023,CM1,3,300,ST,,,8.11.3.3
Set ID - CM2 ,01024,CM2,1,4,SI,,,8.11.4.1
Scheduled Time Point ,01025,CM2,2,250,CE,,,8.11.4.2
Description of Time Point ,01026,CM2,3,300,ST,,,8.11.4.3
Events Scheduled This Time Point ,01027,CM2,4,250,CE,Y,,8.11.4.4
Starting Notification Reference Number ,01402,CNS,1,20,NM,,,13.4.8.1
Ending Notification Reference Number ,01403,CNS,2,20,NM,,,13.4.8.2
Starting Notification Date/Time ,01404,CNS,3,26,TS,,,13.4.8.3
Ending Notification Date/Time ,01405,CNS,4,26,TS,,,13.4.8.4
Starting Notification Code ,01406,CNS,5,250,CE,,,13.4.8.5
Ending Notification Code ,01407,CNS,6,250,CE,,,13.4.8.6
Set ID - CON ,01776,CON,1,4,SI,,,9.9.4.1
Consent Type ,01777,CON,2,250,CWE,,0496,9.9.4.2
Consent Form ID ,01778,CON,3,40,ST,,,9.9.4.3
Consent Form Number ,01779,CON,4,180,EI,,,9.9.4.4
Consent Text ,01780,CON,5,65536,FT,Y,,9.9.4.5
Subject-specific Consent Text ,01781,CON,6,65536,FT,Y,,9.9.4.6
Consent Background ,01782,CON,7,65536,FT,Y,,9.9.4.7
Subject-specific Consent Background ,01783,CON,8,65536,FT,Y,,9.9.4.8
Consenter-imposed limitations ,01784,CON,9,65536,FT,Y,,9.9.4.9
Consent Mode ,01785,CON,10,2,CNE,,0497,9.9.4.10
Consent Status ,01786,CON,11,2,CNE,,0498,9.9.4.11
Consent Discussion Date/Time ,01787,CON,12,26,TS,,,9.9.4.12
Consent Decision Date/Time ,01788,CON,13,26,TS,,,9.9.4.13
Consent Effective Date/Time ,01789,CON,14,26,TS,,,9.9.4.14
Consent End Date/Time ,01790,CON,15,26,TS,,,9.9.4.15
Subject Competence Indicator ,01791,CON,16,1,ID,,0136,9.9.4.16
Translator Assistance Indicator ,01792,CON,17,1,ID,,0136,9.9.4.17
Language Translated To ,01793,CON,18,1,ID,,0296,9.9.4.18
Informational Material Supplied Indicator ,01794,CON,19,1,ID,,0136,9.9.4.19
Consent Bypass Reason ,01795,CON,20,250,CWE,,0499,9.9.4.20
Consent Disclosure Level ,01796,CON,21,1,ID,,0500,9.9.4.21
Consent Non-disclosure Reason ,01797,CON,22,250,CWE,,0501,9.9.4.22
Non-subject Consenter Reason ,01798,CON,23,250,CWE,,0502,9.9.4.23
Consenter ID ,01909,CON,24,250,XPN,Y,,9.9.4.24
Relationship to Subject Table ,01898,CON,25,100,IS,Y,0548,9.9.4.25
Study Phase Identifier ,01022,CSP,1,250,CE,,,7.8.2.1
Date/time Study Phase Began ,01052,CSP,2,26,TS,,,7.8.2.2
Date/time Study Phase Ended ,01053,CSP,3,26,TS,,,7.8.2.3
Study Phase Evaluability ,01054,CSP,4,250,CE,,,7.8.2.4
Sponsor Study ID ,01011,CSR,1,60,EI,,,7.8.1.1
Alternate Study ID ,01036,CSR,2,60,EI,,,7.8.1.2
Institution Registering the Patient ,01037,CSR,3,250,CE,,,7.8.1.3
Sponsor Patient ID ,01038,CSR,4,30,CX,,,7.8.1.4
Alternate Patient ID - CSR ,01039,CSR,5,30,CX,,,7.8.1.5
Date/Time Of Patient Study Registration ,01040,CSR,6,26,TS,,,7.8.1.6
Person Performing Study Registration ,01041,CSR,7,250,XCN,Y,,7.8.1.7
Study Authorizing Provider ,01042,CSR,8,250,XCN,Y,,7.8.1.8
Date/time Patient Study Consent Signed ,01043,CSR,9,26,TS,,,7.8.1.9
Patient Study Eligibility Status ,01044,CSR,10,250,CE,,,7.8.1.10
Study Randomization Date/time ,01045,CSR,11,26,TS,Y,,7.8.1.11
Randomized Study Arm ,01046,CSR,12,250,CE,Y,,7.8.1.12
Stratum for Study Randomization ,01047,CSR,13,250,CE,Y,,7.8.1.13
Patient Evaluability Status ,01048,CSR,14,250,CE,,,7.8.1.14
Date/time Ended Study ,01049,CSR,15,26,TS,,,7.8.1.15
Reason Ended Study ,01050,CSR,16,250,CE,,,7.8.1.16
Study Scheduled Time Point ,01055,CSS,1,250,CE,,,7.8.3.1
Study Scheduled Patient Time Point ,01056,CSS,2,26,TS,,,7.8.3.2
Study Quality Control Codes ,01057,CSS,3,250,CE,Y,,7.8.3.3
Contact Role ,00196,CTD,1,250,CE,Y,0131,11.6.4.1
Contact Name ,01165,CTD,2,250,XPN,Y,,11.6.4.2
Contact Address ,01166,CTD,3,250,XAD,Y,,11.6.4.3
Contact Location ,01167,CTD,4,60,PL,,,11.6.4.4
Contact Communication Information ,01168,CTD,5,250,XTN,Y,,11.6.4.5
Preferred Method of Contact ,00684,CTD,6,250,CE,,0185,11.6.4.6
Contact Identifiers ,01171,CTD,7,100,PLN,Y,,11.6.4.7
Sponsor Study ID ,01011,CTI,1,60,EI,,,7.8.4.1
Study Phase Identifier ,01022,CTI,2,250,CE,,,7.8.4.2
Study Scheduled Time Point ,01055,CTI,3,250,CE,,,7.8.4.3
Set ID - DB1 ,01283,DB1,1,4,SI,,,3.4.11.1
Disabled Person Code ,01284,DB1,2,2,IS,,0334,3.4.11.2
Disabled Person Identifier ,01285,DB1,3,250,CX,Y,,3.4.11.3
Disabled Indicator ,01286,DB1,4,1,ID,,0136,3.4.11.4
Disability Start Date ,01287,DB1,5,8,DT,,,3.4.11.5
Disability End Date ,01288,DB1,6,8,DT,,,3.4.11.6
Disability Return to Work Date ,01289,DB1,7,8,DT,,,3.4.11.7
Disability Unable to Work Date ,01290,DB1,8,8,DT,,,3.4.11.8
Set ID - DG1 ,00375,DG1,1,4,SI,,,6.5.2.1
Diagnosis Coding Method ,00376,DG1,2,2,ID,,0053,6.5.2.2
Diagnosis Code - DG1 ,00377,DG1,3,250,CE,,0051,6.5.2.3
Diagnosis Description ,00378,DG1,4,40,ST,,,6.5.2.4
Diagnosis Date/Time ,00379,DG1,5,26,TS,,,6.5.2.5
Diagnosis Type ,00380,DG1,6,2,IS,,0052,6.5.2.6
Major Diagnostic Category ,00381,DG1,7,250,CE,,0118,6.5.2.7
Diagnostic Related Group ,00382,DG1,8,250,CE,,0055,6.5.2.8
DRG Approval Indicator ,00383,DG1,9,1,ID,,0136,6.5.2.9
DRG Grouper Review Code ,00384,DG1,10,2,IS,,0056,6.5.2.10
Outlier Type ,00385,DG1,11,250,CE,,0083,6.5.2.11
Outlier Days ,00386,DG1,12,3,NM,,,6.5.2.12
Outlier Cost ,00387,DG1,13,12,CP,,,6.5.2.13
Grouper Version And Type ,00388,DG1,14,4,ST,,,6.5.2.14
Diagnosis Priority ,00389,DG1,15,2,ID,,0359,6.5.2.15
Diagnosing Clinician ,00390,DG1,16,250,XCN,Y,,6.5.2.16
Diagnosis Classification ,00766,DG1,17,3,IS,,0228,6.5.2.17
Confidential Indicator ,00767,DG1,18,1,ID,,0136,6.5.2.18
Attestation Date/Time ,00768,DG1,19,26,TS,,,6.5.2.19
Diagnosis Identifier ,01850,DG1,20,427,EI,,,6.5.2.20
Diagnosis Action Code ,01894,DG1,21,1,ID,,0206,6.5.2.21
Diagnostic Related Group ,00382,DRG,1,250,CE,,0055,6.5.3.1
DRG Assigned Date/Time ,00769,DRG,2,26,TS,,,6.5.3.2
DRG Approval Indicator ,00383,DRG,3,1,ID,,0136,6.5.3.3
DRG Grouper Review Code ,00384,DRG,4,2,IS,,0056,6.5.3.4
Outlier Type ,00385,DRG,5,250,CE,,0083,6.5.3.5
Outlier Days ,00386,DRG,6,3,NM,,,6.5.3.6
Outlier Cost ,00387,DRG,7,12,CP,,,6.5.3.7
DRG Payor ,00770,DRG,8,1,IS,,0229,6.5.3.8
Outlier Reimbursement ,00771,DRG,9,9,CP,,,6.5.3.9
Confidential Indicator ,00767,DRG,10,1,ID,,0136,6.5.3.10
DRG Transfer Type ,01500,DRG,11,21,IS,,0415,6.5.3.11
Continuation Pointer ,00014,DSC,1,180,ST,,,2.15.4.1
Continuation Style ,01354,DSC,2,1,ID,,0398,2.15.4.2
Set ID - DSP ,00061,DSP,1,4,SI,,,5.5.1.1
Display Level ,00062,DSP,2,4,SI,,,5.5.1.2
Data Line ,00063,DSP,3,300,TX,,,5.5.1.3
Logical Break Point ,00064,DSP,4,2,ST,,,5.5.1.4
Result ID ,00065,DSP,5,20,TX,,,5.5.1.5
Reference Command Number ,01390,ECD,1,20,NM,,,13.4.5.1
Remote Control Command ,01391,ECD,2,250,CE,,0368,13.4.5.2
Response Required ,01392,ECD,3,80,ID,,0136,13.4.5.3
Requested Completion Time ,01393,ECD,4,200,TQ,,,13.4.5.4
Parameters ,01394,ECD,5,65536,TX,Y,,13.4.5.5
Command Response ,01395,ECR,1,250,CE,,0387,13.4.6.1
Date/Time Completed ,01396,ECR,2,26,TS,,,13.4.6.2
Command Response Parameters ,01397,ECR,3,65536,TX,Y,,13.4.6.3
Set ID - EDU ,01448,EDU,1,60,SI,,,15.4.3.1
Academic Degree ,01449,EDU,2,10,IS,,0360,15.4.3.2
Academic Degree Program Date Range ,01597,EDU,3,52,DR,,,15.4.3.3
Academic Degree Program Participation Date Range ,01450,EDU,4,52,DR,,,15.4.3.4
Academic Degree Granted Date ,01451,EDU,5,8,DT,,,15.4.3.5
School ,01452,EDU,6,250,XON,,,15.4.3.6
School Type Code ,01453,EDU,7,250,CE,,0402,15.4.3.7
School Address ,01454,EDU,8,250,XAD,,,15.4.3.8
Major Field of Study ,01885,EDU,9,250,CWE,Y,,15.4.3.9
Query Tag ,00696,EQL,1,32,ST,,,5.10.5.1.1
Query/Response Format Code ,00697,EQL,2,1,ID,,0106,5.10.5.1.2
